tm,DVm,PVm
3.700000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
4.000000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
4.200000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
4.400000000000000000e+01,1.000000000000000000e+00,1.999999999999992756e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
5.300000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
5.400000000000000000e+01,1.000000000000000000e+00,2.724999999999990624e-02
5.500000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.600000000000000000e+01,1.000000000000000000e+00,3.125000000000000000e-02
5.700000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
6.000000000000000000e+01,1.000000000000000000e+00,3.450000000000006534e-02
6.100000000000000000e+01,1.000000000000000000e+00,3.774999999999995026e-02
6.200000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.400000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.500000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.600000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.700000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.800000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
